Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,64,2021.1,PAULO HENRIQUE PORTELA DE CARVALHO (150h),23456N3,10,2,virtual
ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,C,2021.1,MARCO ANTONIO FREITAS DO EGITO COELHO (30h),3T23,16,12,SG-11 AT -39/12
ENE0270,TOPICOS ESPECIAIS EM SISTEMA DIGITAIS,01,2021.1,DANIEL CHAVES CAFE (60h),35T45,20,15,Remoto
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,J,2021.1,MYLENE CHRISTINE QUEIROZ DE FARIAS (30h),2M5 2T1,1,1,Remoto
ENE0343,PROJETO FINAL DE GRADUAÇÃO 2,B,2021.1,EDUARDO PEIXOTO FERNANDES DA SILVA (90h),7M123 6T6 6N12,2,2,Remoto
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,34,2021.1,FRANCIS ARODY MORENO VASQUEZ (30h),7T23,1,4,A definir
ENE0332,TOPICOS EM ENGENHARIA,C,2021.1,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES (60h),24T23,30,12,A Definir
ENE0334,COMPUTACAO PARA ENGENHARIA,A,2021.1,DANIEL GUERREIRO E SILVA (60h),46M34,50,41,Remoto
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,K,2021.1,VINICIUS PEREIRA GONCALVES (30h),2M5 2T1,3,3,Remoto
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,L,2021.1,FABIO LUCIO LOPES DE MENDONCA (30h),4M5 4T1,1,1,Remoto
ENE0071,INSTALAÇÕES ELÉTRICAS,A,2021.1,FRANCIS ARODY MORENO VASQUEZ (60h),24M34,20,12,FT BT-16/15
ENE0001,ELETRICIDADE BÁSICA,C,2021.1,FRANCISCO DAMASCENO FREITAS (60h),24T23,60,17,SG-11 A1 57/12
ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,F,2021.1,EDUARDO PEIXOTO FERNANDES DA SILVA (30h),3T23,20,15,A definir
ENE0228,ANALISE DE SISTEMAS DE POTENCIA,A,2021.1,PABLO EDUARDO CUERVO FRANCO (60h),24M34,50,12,FT BT-25/15
ENE0343,PROJETO FINAL DE GRADUAÇÃO 2,F,2021.1,GEOVANY ARAUJO BORGES (90h),234567N,2,2,Remoto
ENE0220,INSTRUMENTACAO DE CONTROLE,A,2021.1,GEOVANY ARAUJO BORGES (60h),35M34,50,35,FT BT 43/15
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,47,2021.1,ALCIDES LEANDRO DA SILVA (150h),23456N3,1,2,A definir
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,B,2021.1,WILLIAM FERREIRA GIOZZA (30h),5M5 5T1,2,1,Remoto
ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,D,2021.1,GERSON HENRIQUE PFITSCHER (30h),6M12,10,9,SG-11 AT-47/14
ENE0155,INTRODUCAO A ENGENHARIA ELETRICA,A,2021.1,JOSE CAMARGO DA COSTA (30h),6M34,45,32,FT BT-34/15
ENE0089,CABEAMENTO ESTRUTURADO,A,2021.1,FLAVIO ELIAS GOMES DE DEUS (60h),35T45,30,7,FT LAB.REDES
ENE0040,LABORATÓRIO DE SISTEMAS DIGITAIS,A,2021.1,DANIEL CHAVES CAFE (30h),2M34,20,5,A definir
ENE0063,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE REDES DE COMUNICAÇÃO,D,2021.1,PAULO ROBERTO DE LIRA GONDIM (180h),7M1234 7T1234 6N123,4,2,Remoto
ENE0046,LABORATÓRIO DE ELETRÔNICA,F,2021.1,ALEXANDRE RICARDO SOARES ROMARIZ (30h),6T45,20,15,A definir
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,56,2021.1,ANESIO DE LELES FERREIRA FILHO (15h),7T23,10,2,virtual
ENE0186,CONVERSÃO DE ENERGIA E MÁQUINAS ELÉTRICAS,A,2021.1,IVAN MARQUES DE TOLEDO CAMARGO (60h),24T23,50,27,FT BT-25/15
ENE0025,PROTOCOLOS DE TRANSPORTE E ROTEAMENTO,A,2021.1,GEORGES DANIEL AMVAME NZE (60h),24T23,30,18,FT LAB.REDES
ENE0306,PRINCÍPIOS DE COMUNICAÇÃO,B,2021.1,LEONARDO AGUAYO (60h),35T45,50,24,FT BT-25/15
ENE0022,PROJETO TRANSVERSAL EM REDES DE COMUNICAÇÃO 1,A,2021.1,UGO SILVA DIAS (60h),2M34 4M34,30,23,FT LAB.REDES
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,65,2021.1,WILLIAM FERREIRA GIOZZA (150h),23456N3,10,1,Virtual
