Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENM0120,MECANICA 1,C,2021.1,FABIO COMES DE CASTRO (60h),3T23 5T23,48,35,DT 43/15
ENM0027,TECNOLOGIAS DE COMANDO NUMERICO,A,2021.1,ALBERTO JOSE ALVARES (60h),2M34 4M34,30,21,ENM AT 10/89
ENM0131,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1,B,2021.1,WALTER DE BRITTO VIDAL FILHO (90h),2M34 5T23 5T45,41,16,DT 52/15 E FT ET-70/14 LCC
ENM0165,MECANICA DOS MATERIAIS 2,A,2021.1,JORGE LUIZ DE ALMEIDA FERREIRA (60h),3M12 5M12,40,30,ENM DT 16/15
ENM0127,TECNOLOGIA DE FABRICACAO 1,01A,2021.1,DEBORAH DE OLIVEIRA (45h),2M3 5M12,20,17,ENM DT 11/15 E SG 09
ENM0129,PROJETO DE GRADUACAO 1,34,2021.1,LUCIVAL MALCHER (30h),6N12 ,4,1,a definir
DPG0782,ENERGIA E AMBIENTE,03,2021.1,ARMANDO DE AZEVEDO CALDEIRA PIRES (30h),6T2345 ,4,2,a definir
ENM0080,FENOMENOS DE TRANSPORTE,H,2021.1,ARTUR ELIAS DE MORAIS BERTOLDI (15h),2M4 35T23,31,32,REMOTO FGA
ENM0129,PROJETO DE GRADUACAO 1,19,2021.1,DIANNE MAGALHAES VIANA (30h),6N12 ,4,1,a definir
ENM0130,PROJETO DE GRADUACAO 2,14,2021.1,CARLOS ALBERTO GURGEL VERAS (90h),7T123456 ,4,1,a definir
DPG0277,METALURGIA FÍSICA,01,2021.1,COSME ROBERTO MOREIRA DA SILVA (60h),35T23,2,1,A Definir
ENM0003,FUNDAMENTOS DE ENGENHARIA DE RESERVATÓRIO,02,2021.1,EUGENIO LIBORIO FEITOSA FORTALEZA (30h),6T45 ,30,4,a definir
ENM0140,MECANICA DOS FLUIDOS 1,C,2021.1,JOSE LUIZ ALVES DA FONTOURA RODRIGUES (75h),4M12 6M12 5T45,15,5,DT 52/15 E SG 09
ENM0080,FENOMENOS DE TRANSPORTE,G,2021.1,ARTUR ELIAS DE MORAIS BERTOLDI (15h),2M3 35T23,33,33,REMOTO FGA
ENM0174,SISTEMAS ENERGETICOS,A,2021.1,MARIO OLAVO MAGNO DE CARVALHO (60h),2N12 4N12,40,25,DT 52/15
ENM0129,PROJETO DE GRADUACAO 1,36,2021.1,MAKSYM ZIBEROV (30h),7N12 ,4,2,a designar
ENM0130,PROJETO DE GRADUACAO 2,01,2021.1,ADRIANO POSSEBON ROSA (90h),7T123456 ,4,3,a definir
ENM0126,INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,C,2021.1,PALLOMA VIEIRA MUTERLLE (45h),2N12 6N3,25,21,DT 43/15
ENM0091,MATERIAIS DE CONSTRUCAO MECANICA 2,C,2021.1,DANIEL MONTEIRO ROSA (60h),3T23 6T23,15,2,DT 52/15 E ENM DT 11/15
ENM0109,VIBRACOES 1,B,2021.1,MARCUS VINICIUS GIRAO DE MORAIS (60h),3M34 5M34 4T45,28,14,ENM DT 11/15
ENM0090,MATERIAIS DE CONSTRUCAO MECANICA 1,B,2021.1,COSME ROBERTO MOREIRA DA SILVA (90h),2M12 4M12 6M34,13,8,ENM DT 16/15 E SG 09
ENM0071,TRANSFERENCIA DE CALOR,A,2021.1,ANTONIO CESAR PINHO BRASIL JUNIOR (90h),246M34,45,34,ENM DT 11/15
ENM0126,INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,D,2021.1,PALLOMA VIEIRA MUTERLLE (45h),2N34 6N4,25,4,DT 43/15
ENM0130,PROJETO DE GRADUACAO 2,21,2021.1,EDGAR AMARAL SILVEIRA (90h),7T123456 ,4,2,a definir
ENM0130,PROJETO DE GRADUACAO 2,65,2021.1,LUCIVAL MALCHER (90h),7T123456 ,4,2,a definir
ENM0164,MECANICA DOS MATERIAIS 1,B,2021.1,EDER LIMA DE ALBUQUERQUE (60h),3M34 5M34,45,9,SG9 A1 49/18
ENM0130,PROJETO DE GRADUACAO 2,04,2021.1,ALBERTO CARLOS GUIMARAES CASTRO DINIZ (90h),7T123456 ,4,1,a definir
ENM0192,TECNOLOGIAS HABILITADORAS DA INDÚSTRIA 4.0,A,2021.1,ALBERTO JOSE ALVARES (60h),24T45,20,1,a definir
ENM0130,PROJETO DE GRADUACAO 2,20,2021.1,EDER LIMA DE ALBUQUERQUE (90h),7T123456 ,4,0,a definir
ENM0129,PROJETO DE GRADUACAO 1,27,2021.1,GUILHERME CARIBE DE CARVALHO (30h),6N12 ,4,1,a definir
ENM0129,PROJETO DE GRADUACAO 1,38,2021.1,MARCUS VINICIUS GIRAO DE MORAIS (30h),6N12 ,4,1,a definir
ENM0071,TRANSFERENCIA DE CALOR,B,2021.1,EDGAR AMARAL SILVEIRA (90h),2M34 4M34 6M34,40,22,ENM DT 34/15
ENM0185,FUNDAMENTOS DE CONVECÇÃO,02,2021.1,JOSE LUIZ ALVES DA FONTOURA RODRIGUES (60h),35M12,20,2,a designar
ENM0130,PROJETO DE GRADUACAO 2,36,2021.1,MAKSYM ZIBEROV (90h),7T123456 ,4,1,remoto
ENM0127,TECNOLOGIA DE FABRICACAO 1,02A,2021.1,DEBORAH DE OLIVEIRA (45h),2M4 5M12,20,13,ENM DT 11/15 E SG 09
ENM0131,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1,04,2021.1,ALBERTO CARLOS GUIMARAES CASTRO DINIZ (60h),246T6 246N1,8,7,a designar
ENM0080,FENOMENOS DE TRANSPORTE,I,2021.1,ARTUR ELIAS DE MORAIS BERTOLDI (15h),46M45 6T2,30,25,REMOTO FGA
ENM0120,MECANICA 1,03,2021.1,LUCIVAL MALCHER (60h),46T23,48,41,a definir
ENM0070,MAQUINAS TERMICAS,04,2021.1,PAOLO GESSINI (75h),24M12 3T2,3,4,Remoto - FGA
ENM0082,MECANICA DOS FLUIDOS 2,D,2021.1,ANDRE VON BORRIES LOPES (30h),24M34 6T1,15,6,ENM AT 65/13
ENM0091,MATERIAIS DE CONSTRUCAO MECANICA 2,A,2021.1,DANIEL MONTEIRO ROSA (60h),3T23 4T23,15,5,DT 52/15 E ENM DT 11/15
DPG0011,TÓPICOS AVANÇADOS EM SISTEMAS MECATRÔNICOS 2,03,2021.1,CARLOS HUMBERTO LLANOS QUINTERO (60h),46T23,2,2,Remoto
ENM0118,SISTEMAS DE MEDIÇÃO,01A,2021.1,CARLOS HUMBERTO LLANOS QUINTERO (45h),3M12 5M1,18,6,DT 52/15
ENM0129,PROJETO DE GRADUACAO 1,43,2021.1,ROBERTO FRANCISCO BOBENRIETH MISERDA (30h),6N12 ,4,1,a definir
ENM0089,ANALISE DE PROBLEMAS DE ENGENHARIA MECANICA,A,2021.1,ANDRE VON BORRIES LOPES (60h),6T2345 ,15,13,ENM DT 77/15
DPG0424,TERMODINÂMICA CLÁSSICA,03,2021.1,CARLOS ALBERTO GURGEL VERAS (60h),6M1234 ,1,0,a definir
ENM0072,INSTALACOES TERMOMECANICAS 1,A,2021.1,JOAO MANOEL DIAS PIMENTA (60h),35T45,42,39,DT 52/15
ENM0087,TUBULAÇÕES INDUSTRIAIS,01A,2021.1,THIAGO DE CARVALHO RODRIGUES DOCA (60h),35T23,30,9,ENM DT 34/15
ENM0071,TRANSFERENCIA DE CALOR,AA,2021.1,FABIO ALFAIA DA CUNHA (90h),246M34,46,43,REMOTO FGA
ENM0119,SEGURANCA EM SISTEMAS DE CONTROLE E AUTOMACAO,01,2021.1,JONES YUDI MORI ALVES DA SILVA (30h),2N12 ,20,14,A definir
ENM0128,TRANSPORTE DE CALOR E MASSA,C,2021.1,ADRIANO POSSEBON ROSA (60h),35N12,50,48,DT 52/15
ENM0076,TOPICOS ESPECIAIS EM SISTEMAS TERMICOS,04,2021.1,TAYGOARA FELAMINGO DE OLIVEIRA (60h),35M34,20,3,a definir
DPG0841,TRANSFERÊNCIA DE CALOR AVANÇADA,03,2021.1,TAYGOARA FELAMINGO DE OLIVEIRA (60h),35T23,2,2,a definir
ENM0132,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 2,A,2021.1,ALBERTO CARLOS GUIMARAES CASTRO DINIZ (60h),24M34,40,34,FT ET-70/14 LCC
ENM0080,FENOMENOS DE TRANSPORTE,F,2021.1,FELIPE CHAGAS STORTI (60h),35T23 6T3,31,31,REMOTO FGA
ENM0140,MECANICA DOS FLUIDOS 1,B,2021.1,JOSE LUIZ ALVES DA FONTOURA RODRIGUES (75h),4M12 6M12 5T45,15,8,DT 52/15 E SG 09
ENM0190,DESENHO MECÂNICO PARA ENGENHARIA,01A,2021.1,ADRIANO TODOROVIC FABRO (60h),46M12,41,32,FT ET-70/14 LCC
ENM0082,MECANICA DOS FLUIDOS 2,C,2021.1,FRANCISCO RICARDO DA CUNHA (30h),24M34 6M5,20,14,ENM AT 65/13
ENM0093,TECNOLOGIA MECANICA 2,A,2021.1,GUILHERME CARIBE DE CARVALHO (60h),2M34 4T45,20,13,DT 43/15 E ENM DT 25/15
ENM0121,MECANICA 2,A,2021.1,MARIO OLAVO MAGNO DE CARVALHO (60h),2T45 4T45,41,33,DT 43/15
ENM0126,INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,B,2021.1,ALYSSON MARTINS ALMEIDA SILVA (45h),6M2 6M34 ,25,19,DT 43/15
ENM0134,SISTEMAS INTEGRADOS DE MANUFATURA,A,2021.1,EUGENIO LIBORIO FEITOSA FORTALEZA (60h),5T23 6T23,45,23,ENM DT 16/15
ENM0145,METROLOGIA,A,2021.1,ANTONIO PIRATELLI FILHO (60h),3M12 5M12,30,22,ENM DT 11/15 E SG 09
ENM0080,FENOMENOS DE TRANSPORTE,G,2021.1,FELIPE CHAGAS STORTI (60h),2M3 35T23,33,33,REMOTO FGA
ENM0129,PROJETO DE GRADUACAO 1,03,2021.1,AIDA ALVES FADEL (30h),6N12 ,4,1,a definir
ENM0129,PROJETO DE GRADUACAO 1,37,2021.1,MARCELA RODRIGUES MACHADO (30h),6N12 ,4,1,a definir
ENM0091,MATERIAIS DE CONSTRUCAO MECANICA 2,B,2021.1,DANIEL MONTEIRO ROSA (60h),3T23 5T23,25,17,ENM DT 11/15
ENM0143,INTRODUCAO A ENGENHARIA MECANICA,A,2021.1,JOAO MANOEL DIAS PIMENTA (30h),2M12 ,41,31,DT 52/15
ENM0056,TOPICOS ESPECIAIS EM SISTEMAS MECANICOS,A,2021.1,LUIS AUGUSTO CONTE MENDES VELOSO (60h),3T67 5T67 3N12 5N12,30,2,ENM DT 34/15
ENM0106,MAQUINAS DE ELEVACAO E TRANSPORTE,01A,2021.1,THIAGO DE CARVALHO RODRIGUES DOCA (60h),35M12,40,28,SG9 A1 49/18
ENM0133,INTRODUCAO A ENGENHARIA MECATRONICA,02,2021.1,JONES YUDI MORI ALVES DA SILVA (30h),6M12 ,40,0,a definir
DPG0384,TÓPICOS AVANÇADOS EM SISTEMAS MECATRÔNICOS 1,03,2021.1,ALYSSON MARTINS ALMEIDA SILVA (60h),4M1234 ,1,1,a definir
ENM0130,PROJETO DE GRADUACAO 2,23,2021.1,EDSON PAULO DA SILVA (90h),7T123456 ,4,1,a definir
ENM0179,INTRODUÇÃO À AEROACÚSTICA,A,2021.1,ROBERTO FRANCISCO BOBENRIETH MISERDA (60h),3M34 5M34,30,5,ENM GT 11/20
ENM0130,PROJETO DE GRADUACAO 2,10,2021.1,ANTONIO MANOEL DIAS HENRIQUES (90h),7T123456 ,4,2,a definir
ENM0172,MATERIAIS INDUSTRIAIS,A,2021.1,EDSON PAULO DA SILVA (90h),2M34 4M12 6M12,40,28,ENM DT 16/15 E SG9 A1 49/18
ENM0098,TOPICOS ESPECIAIS EM PROCESSOS DE FABRICACAO,0102,2021.1,MAKSYM ZIBEROV (60h),35T6 35N1,10,2,a definir
ENM0130,PROJETO DE GRADUACAO 2,19,2021.1,DIANNE MAGALHAES VIANA (90h),7T123456 ,4,1,a definir
ENM0122,PROJETO DE MAQUINAS 1,A,2021.1,ANTONIO MANOEL DIAS HENRIQUES (60h),2M12 4M12,45,37,ENM DT 11/15
ENM0080,FENOMENOS DE TRANSPORTE,F,2021.1,ARTUR ELIAS DE MORAIS BERTOLDI (15h),35T23 6T3,31,31,REMOTO FGA
ENM0093,TECNOLOGIA MECANICA 2,B,2021.1,GUILHERME CARIBE DE CARVALHO (60h),2M34 4T23,21,21,DT 43/15 E ENM DT 25/15
ENM0082,MECANICA DOS FLUIDOS 2,D,2021.1,FRANCISCO RICARDO DA CUNHA (45h),24M34 6T1,15,6,ENM AT 65/13
DPG0478,METODOLOGIA DE PESQUISA E REDAÇÃO CIENTÍFICA,A,2021.1,JONES YUDI MORI ALVES DA SILVA (30h),4N12 ,4,4,a definir
ENM0145,METROLOGIA,B,2021.1,ANTONIO PIRATELLI FILHO (60h),3M12 3M34 ,20,5,ENM DT 11/15 E SG 09
ENM0084,SISTEMAS HIDRAULICOS E PNEUMATICOS,B,2021.1,AIDA ALVES FADEL (60h),3M34 5M34,21,19,ENM A1 11/85 E ENM DT 25/15
ENM0126,INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,A,2021.1,ALYSSON MARTINS ALMEIDA SILVA (45h),6M12 6M34 ,25,18,DT 43/15
ENM0191,SELEÇÃO DE MATERIAIS EM ENGENHARIA E DESIGN,02,2021.1,EDSON PAULO DA SILVA (60h),35T23,20,0,a definir
ENM0129,PROJETO DE GRADUACAO 1,28,2021.1,JOAO MANOEL DIAS PIMENTA (30h),6N12 ,4,1,a designar
ENM0126,INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,F,2021.1,PALLOMA VIEIRA MUTERLLE (45h),4M34 6M4,20,13,DT 43/15 E ENM DT 16/15
ENM0080,FENOMENOS DE TRANSPORTE,I,2021.1,FABIO CORDEIRO DE LISBOA (60h),46M45 6T2,30,25,REMOTO FGA
ENM0083,SISTEMAS FLUIDO-MECANICOS 1,A,2021.1,ROBERTO FRANCISCO BOBENRIETH MISERDA (60h),46M34,40,37,DT 52/15
ENM0082,MECANICA DOS FLUIDOS 2,C,2021.1,ANDRE VON BORRIES LOPES (45h),24M34 6M5,20,14,ENM AT 65/13
ENM0146,TECNOLOGIA MECANICA 1,01A,2021.1,DEBORAH DE OLIVEIRA (60h),35M12,25,21,ENM DT 11/15 E SG 09
DPG0384,TÓPICOS AVANÇADOS EM SISTEMAS MECATRÔNICOS 1,02,2021.1,DANIEL MAURICIO MUNOZ ARBOLEDA (30h),6T2345 ,5,1,a definir
DPG0384,TÓPICOS AVANÇADOS EM SISTEMAS MECATRÔNICOS 1,02,2021.1,CARLOS HUMBERTO LLANOS QUINTERO (30h),6T2345 ,5,1,a definir
ENM0133,INTRODUCAO A ENGENHARIA MECATRONICA,A,2021.1,MARCELO GRANDI MANDELLI (10h),6M12 ,42,31,FT BT-34/15
