Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
MAT0025,CÁLCULO 1,N,2021.1,WANG QIAOLING (60h),234M34,80,50,ICC ANF.18 E ICC ANF.19 E PAT AT 012
MAT0069,SEMINARIO DE TOPICOS EM GEOMETRIA,A,2021.1,NILTON MOURA BARROSO NETO (60h),24T23,40,8,remoto
MAT0026,CÁLCULO 2,D,2021.1,LUCAS CONQUE SECO FERREIRA (90h),246T23,71,31,ICC ANF. 7 E ICC ANF. 8
MAT0026,CÁLCULO 2,C,2021.1,HELDER DE CARVALHO MATOS (90h),235M34,70,44,ICC ANF. 7 E ICC ANF. 8
MAT0031,INTRODUCAO A ALGEBRA LINEAR,M,2021.1,EMERSON FERREIRA DE MELO (60h),35N12,70,57,darcy ribeiro
MAT0025,CÁLCULO 1,P,2021.1,GLAUCIA LENITA DIERINGS (60h),2N12 35N34,80,55,virtual
MAT0053,CALCULO NUMERICO,B,2021.1,YURI DUMARESQ SOBRAL (60h),35T23,70,42,ICC ANF. 5
MAT0026,CÁLCULO 2,J,2021.1,HELDER DE CARVALHO MATOS (90h),3N34 56N12,70,32,ICC ANF. 2 E ICC ANF. 4
MAT0022,MATEMATICA 1,B,2021.1,HENRIQUE COSTA DOS REIS (30h),24T45,80,44,ICC ANF.12 E ICC ANF. 3
MAT0002,TÓPICOS DE EDUCAÇÃO MATEMÁTICA,02A,2021.1,REGINA DA SILVA PINA NEVES (60h),24N12,50,20,remoto
MAT0075,CALCULO DE PROBABILIDADE 1,A,2021.1,DANIELE DA SILVA BARATELA MARTINS NETO (90h),235M34,50,44,ICC ASS 432/10
MAT0010,GEOMETRIA ANALÍTICA PARA MATEMÁTICA,A,2021.1,PEDRO ROITMAN (60h),35T45,50,30,virtual
MAT0087,SEMINARIO TOPICOS ESPECIAIS,C,2021.1,LUCIANA MARIA DIAS DE AVILA RODRIGUES (30h),4M5 4T1,14,14,Darcy Ribeiro
MAT0022,MATEMATICA 1,B,2021.1,LEANDRO MARTINS CIOLETTI (30h),24T45,80,44,ICC ANF.12 E ICC ANF. 3
MAT0025,CÁLCULO 1,T,2021.1,WILLIAN CINTRA DA SILVA (60h),246N12,80,55,ICC ANF. 8
MAT0025,CÁLCULO 1,C,2021.1,RUI SEIMETZ (60h),356M12,80,47,ICC ANF.12 E ICC ANF. 6
MAT0023,MATEMATICA 2,C,2021.1,HENRIQUE COSTA DOS REIS (60h),35T23,65,56,remoto
MAT0026,CÁLCULO 2,H,2021.1,LUIS ROBERTO LUCINGER DE ALMEIDA (90h),2N12 35N34,70,37,ICC ANF. 3 E ICC ANF. 8
MAT0031,INTRODUCAO A ALGEBRA LINEAR,K,2021.1,ALINE GOMES DA SILVA PINTO (60h),35T45,70,45,ICC ANF.18
